,FECHA_ADMINISTRACION,GRUPO_ETARIO,GENERO,VACUNA,TIPO_EFECTOR,DOSIS_1,DOSIS_2,ID_CARGA,DOSIS_3
128,20JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,8,0,,0.0
132,20JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,5,0,,0.0
133,20JAN2021:00:00:00,51 a 60,M,Sputnik,Público,8,46,,0.0
135,29DEC2020:00:00:00,30 o menos,M,Sputnik,Público,38,0,,0.0
137,29DEC2020:00:00:00,31 a 40,M,Sputnik,Público,91,0,,0.0
139,29DEC2020:00:00:00,41 a 50,M,Sputnik,Público,79,0,,0.0
141,29DEC2020:00:00:00,51 a 60,M,Sputnik,Público,49,0,,0.0
143,29DEC2020:00:00:00,61 a 70,M,Sputnik,Público,1,0,,0.0
145,30DEC2020:00:00:00,30 o menos,M,Sputnik,Público,45,0,,0.0
147,30DEC2020:00:00:00,31 a 40,M,Sputnik,Público,105,0,,0.0
149,30DEC2020:00:00:00,41 a 50,M,Sputnik,Público,87,0,,0.0
151,30DEC2020:00:00:00,51 a 60,M,Sputnik,Público,56,0,,0.0
153,30DEC2020:00:00:00,61 a 70,M,Sputnik,Público,2,0,,0.0
155,31DEC2020:00:00:00,30 o menos,M,Sputnik,Público,7,0,,0.0
157,31DEC2020:00:00:00,31 a 40,M,Sputnik,Público,12,0,,0.0
159,31DEC2020:00:00:00,41 a 50,M,Sputnik,Público,12,0,,0.0
161,31DEC2020:00:00:00,51 a 60,M,Sputnik,Público,6,0,,0.0
164,02JAN2021:00:00:00,30 o menos,M,Sputnik,Público,14,0,,0.0
166,02JAN2021:00:00:00,31 a 40,M,Sputnik,Público,54,0,,0.0
168,02JAN2021:00:00:00,41 a 50,M,Sputnik,Público,47,0,,0.0
170,02JAN2021:00:00:00,51 a 60,M,Sputnik,Público,23,0,,0.0
172,02JAN2021:00:00:00,61 a 70,M,Sputnik,Público,1,0,,0.0
174,03JAN2021:00:00:00,30 o menos,M,Sputnik,Público,8,0,,0.0
176,03JAN2021:00:00:00,31 a 40,M,Sputnik,Público,22,0,,0.0
178,03JAN2021:00:00:00,41 a 50,M,Sputnik,Público,11,0,,0.0
180,03JAN2021:00:00:00,51 a 60,M,Sputnik,Público,8,0,,0.0
184,04JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,6,0,,0.0
185,04JAN2021:00:00:00,30 o menos,M,Sputnik,Público,50,0,,0.0
186,04JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,1,0,,0.0
190,04JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,9,0,,0.0
191,04JAN2021:00:00:00,31 a 40,M,Sputnik,Público,87,0,,0.0
192,04JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,5,0,,0.0
196,04JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,4,0,,0.0
197,04JAN2021:00:00:00,41 a 50,M,Sputnik,Público,83,0,,0.0
198,04JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,5,0,,0.0
202,04JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,2,0,,0.0
203,04JAN2021:00:00:00,51 a 60,M,Sputnik,Público,64,0,,0.0
204,04JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,1,0,,0.0
205,04JAN2021:00:00:00,61 a 70,M,Sputnik,Privado,1,0,,0.0
209,05JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,14,0,,0.0
210,05JAN2021:00:00:00,30 o menos,M,Sputnik,Público,51,0,,0.0
211,05JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,4,0,,0.0
215,05JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,44,0,,0.0
216,05JAN2021:00:00:00,31 a 40,M,Sputnik,Público,141,0,,0.0
217,05JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,10,0,,0.0
221,05JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,14,0,,0.0
222,05JAN2021:00:00:00,41 a 50,M,Sputnik,Público,94,0,,0.0
223,05JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,11,0,,0.0
227,05JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,5,0,,0.0
228,05JAN2021:00:00:00,51 a 60,M,Sputnik,Público,71,0,,0.0
229,05JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,9,0,,0.0
232,05JAN2021:00:00:00,61 a 70,M,Sputnik,Público,1,0,,0.0
237,06JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,12,0,,0.0
238,06JAN2021:00:00:00,30 o menos,M,Sputnik,Público,69,0,,0.0
239,06JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,9,0,,0.0
243,06JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,44,0,,0.0
244,06JAN2021:00:00:00,31 a 40,M,Sputnik,Público,135,0,,0.0
245,06JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,17,0,,0.0
249,06JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,27,0,,0.0
250,06JAN2021:00:00:00,41 a 50,M,Sputnik,Público,106,0,,0.0
251,06JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,8,0,,0.0
255,06JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,8,0,,0.0
256,06JAN2021:00:00:00,51 a 60,M,Sputnik,Público,73,0,,0.0
257,06JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,5,0,,0.0
259,06JAN2021:00:00:00,61 a 70,M,Sputnik,Público,1,0,,0.0
263,07JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,8,0,,0.0
264,07JAN2021:00:00:00,30 o menos,M,Sputnik,Público,77,0,,0.0
268,07JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,24,0,,0.0
269,07JAN2021:00:00:00,31 a 40,M,Sputnik,Público,148,0,,0.0
270,07JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,8,0,,0.0
274,07JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,10,0,,0.0
275,07JAN2021:00:00:00,41 a 50,M,Sputnik,Público,134,0,,0.0
276,07JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,5,0,,0.0
280,07JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,2,0,,0.0
281,07JAN2021:00:00:00,51 a 60,M,Sputnik,Público,104,0,,0.0
282,07JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,5,0,,0.0
286,08JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,9,0,,0.0
287,08JAN2021:00:00:00,30 o menos,M,Sputnik,Público,104,0,,0.0
290,29JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,0,22,,0.0
291,29JAN2021:00:00:00,30 o menos,M,Sputnik,Público,1,75,,0.0
292,29JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,0,5,,0.0
296,29JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,3,49,,0.0
297,29JAN2021:00:00:00,31 a 40,M,Sputnik,Público,4,168,,0.0
298,29JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,0,17,,0.0
302,12FEB2021:00:00:00,31 a 40,M,Sputnik,Privado,69,23,,0.0
303,12FEB2021:00:00:00,31 a 40,M,Sputnik,Público,36,29,,0.0
304,12FEB2021:00:00:00,31 a 40,M,Sputnik,Público nacional,5,8,,0.0
308,12FEB2021:00:00:00,41 a 50,M,Sputnik,Privado,34,19,,0.0
309,12FEB2021:00:00:00,41 a 50,M,Sputnik,Público,32,23,,0.0
310,12FEB2021:00:00:00,41 a 50,M,Sputnik,Público nacional,3,7,,0.0
314,12FEB2021:00:00:00,51 a 60,M,Sputnik,Privado,35,12,,0.0
315,12FEB2021:00:00:00,51 a 60,M,Sputnik,Público,20,19,,0.0
316,12FEB2021:00:00:00,51 a 60,M,Sputnik,Público nacional,2,4,,0.0
320,12FEB2021:00:00:00,61 a 70,M,Sputnik,Privado,27,0,,0.0
321,12FEB2021:00:00:00,61 a 70,M,Sputnik,Público,20,1,,0.0
322,12FEB2021:00:00:00,61 a 70,M,Sputnik,Público nacional,1,0,,0.0
325,12FEB2021:00:00:00,71 a 80,M,Sputnik,Privado,8,0,,0.0
326,12FEB2021:00:00:00,71 a 80,M,Sputnik,Público,5,0,,0.0
327,12FEB2021:00:00:00,81 a 90,M,Sputnik,Privado,3,0,,0.0
331,13FEB2021:00:00:00,31 a 40,M,Sputnik,Privado,1,0,,0.0
332,13FEB2021:00:00:00,31 a 40,M,Sputnik,Público,3,7,,0.0
335,13FEB2021:00:00:00,41 a 50,M,Sputnik,Público,3,3,,0.0
337,13FEB2021:00:00:00,51 a 60,M,Sputnik,Privado,1,0,,0.0
338,13FEB2021:00:00:00,51 a 60,M,Sputnik,Público,3,4,,0.0
340,14FEB2021:00:00:00,30 o menos,M,Sputnik,Privado,0,2,,0.0
343,14FEB2021:00:00:00,31 a 40,M,Sputnik,Privado,0,1,,0.0
347,22FEB2021:00:00:00,30 o menos,M,AstraZeneca,Público,3,0,,0.0
348,22FEB2021:00:00:00,30 o menos,M,Sputnik,Privado,63,4,,0.0
349,22FEB2021:00:00:00,30 o menos,M,Sputnik,Público,108,3,,0.0
350,22FEB2021:00:00:00,30 o menos,M,Sputnik,Público nacional,13,1,,0.0
355,22FEB2021:00:00:00,31 a 40,M,AstraZeneca,Público,3,0,,0.0
356,22FEB2021:00:00:00,31 a 40,M,Sputnik,Privado,105,9,,0.0
357,22FEB2021:00:00:00,31 a 40,M,Sputnik,Público,207,12,,0.0
358,22FEB2021:00:00:00,31 a 40,M,Sputnik,Público nacional,17,1,,0.0
363,22FEB2021:00:00:00,41 a 50,M,AstraZeneca,Público,3,0,,0.0
364,22FEB2021:00:00:00,41 a 50,M,Sputnik,Privado,76,6,,0.0
365,22FEB2021:00:00:00,41 a 50,M,Sputnik,Público,158,8,,0.0
366,22FEB2021:00:00:00,41 a 50,M,Sputnik,Público nacional,21,2,,0.0
371,22FEB2021:00:00:00,51 a 60,M,AstraZeneca,Público,9,0,,0.0
372,22FEB2021:00:00:00,51 a 60,M,Sputnik,Privado,38,2,,0.0
373,22FEB2021:00:00:00,51 a 60,M,Sputnik,Público,179,8,,0.0
374,22FEB2021:00:00:00,51 a 60,M,Sputnik,Público nacional,18,1,,0.0
379,22FEB2021:00:00:00,61 a 70,M,AstraZeneca,Público,153,0,,0.0
380,22FEB2021:00:00:00,61 a 70,M,Sputnik,Privado,24,0,,0.0
381,22FEB2021:00:00:00,61 a 70,M,Sputnik,Público,129,0,,0.0
382,22FEB2021:00:00:00,61 a 70,M,Sputnik,Público nacional,7,0,,0.0
386,22FEB2021:00:00:00,71 a 80,M,AstraZeneca,Público,320,0,,0.0
387,22FEB2021:00:00:00,71 a 80,M,Sputnik,Privado,10,0,,0.0
388,22FEB2021:00:00:00,71 a 80,M,Sputnik,Público,63,0,,0.0
389,22FEB2021:00:00:00,71 a 80,M,Sputnik,Público nacional,2,0,,0.0
394,22FEB2021:00:00:00,81 a 90,M,AstraZeneca,Público,1461,0,,0.0
395,22FEB2021:00:00:00,81 a 90,M,Sputnik,Público,16,0,,0.0
397,22FEB2021:00:00:00,91 o mas,M,AstraZeneca,Público,164,0,,0.0
398,22FEB2021:00:00:00,91 o mas,M,AstraZeneca,Público nacional,1,0,,0.0
399,22FEB2021:00:00:00,91 o mas,M,Sputnik,Público,2,0,,0.0
404,23FEB2021:00:00:00,30 o menos,M,AstraZeneca,Público,1,0,,0.0
405,23FEB2021:00:00:00,30 o menos,M,Sputnik,Privado,81,9,,0.0
406,23FEB2021:00:00:00,30 o menos,M,Sputnik,Público,118,22,,0.0
407,23FEB2021:00:00:00,30 o menos,M,Sputnik,Público nacional,15,5,,0.0
413,23FEB2021:00:00:00,31 a 40,M,AstraZeneca,Público,1,0,,0.0
414,23FEB2021:00:00:00,31 a 40,M,Sputnik,Privado,104,21,,0.0
415,23FEB2021:00:00:00,31 a 40,M,Sputnik,Público,218,55,,0.0
416,23FEB2021:00:00:00,31 a 40,M,Sputnik,Público nacional,40,5,,0.0
421,23FEB2021:00:00:00,41 a 50,M,AstraZeneca,Público,2,0,,0.0
422,23FEB2021:00:00:00,41 a 50,M,Sputnik,Privado,75,6,,0.0
423,23FEB2021:00:00:00,41 a 50,M,Sputnik,Público,227,72,,0.0
424,23FEB2021:00:00:00,41 a 50,M,Sputnik,Público nacional,34,9,,0.0
429,23FEB2021:00:00:00,51 a 60,M,AstraZeneca,Privado,2,0,,
430,23FEB2021:00:00:00,51 a 60,M,AstraZeneca,Público,2,0,,0.0
431,23FEB2021:00:00:00,51 a 60,M,Sputnik,Privado,56,3,,0.0
432,23FEB2021:00:00:00,51 a 60,M,Sputnik,Público,191,90,,0.0
433,23FEB2021:00:00:00,51 a 60,M,Sputnik,Público nacional,16,3,,0.0
438,23FEB2021:00:00:00,61 a 70,M,AstraZeneca,Público,9,0,,0.0
439,23FEB2021:00:00:00,61 a 70,M,Sputnik,Privado,27,9,,0.0
440,23FEB2021:00:00:00,61 a 70,M,Sputnik,Público,161,245,,0.0
441,23FEB2021:00:00:00,61 a 70,M,Sputnik,Público nacional,8,19,,0.0
446,23FEB2021:00:00:00,71 a 80,M,AstraZeneca,Público,257,0,,0.0
447,23FEB2021:00:00:00,71 a 80,M,Sputnik,Privado,7,2,,0.0
448,23FEB2021:00:00:00,71 a 80,M,Sputnik,Público,54,32,,0.0
449,23FEB2021:00:00:00,71 a 80,M,Sputnik,Público nacional,2,1,,0.0
453,23FEB2021:00:00:00,81 a 90,M,AstraZeneca,Privado,2,0,,0.0
454,23FEB2021:00:00:00,81 a 90,M,AstraZeneca,Público,1450,0,,0.0
455,23FEB2021:00:00:00,81 a 90,M,Sputnik,Público,12,4,,0.0
456,23FEB2021:00:00:00,81 a 90,M,Sputnik,Público nacional,1,0,,0.0
460,23FEB2021:00:00:00,91 o mas,M,AstraZeneca,Público,175,0,,0.0
461,23FEB2021:00:00:00,91 o mas,M,Sputnik,Público,1,1,,0.0
467,24FEB2021:00:00:00,30 o menos,M,AstraZeneca,Público,5,0,,0.0
468,24FEB2021:00:00:00,30 o menos,M,Sputnik,Privado,69,22,,0.0
469,24FEB2021:00:00:00,30 o menos,M,Sputnik,Público,135,23,,0.0
470,24FEB2021:00:00:00,30 o menos,M,Sputnik,Público nacional,4,1,,0.0
476,24FEB2021:00:00:00,31 a 40,M,AstraZeneca,Privado,1,0,,0.0
477,24FEB2021:00:00:00,31 a 40,M,AstraZeneca,Público,6,0,,0.0
478,24FEB2021:00:00:00,31 a 40,M,Sputnik,Privado,133,60,,0.0
479,24FEB2021:00:00:00,31 a 40,M,Sputnik,Público,240,81,,0.0
480,24FEB2021:00:00:00,31 a 40,M,Sputnik,Público nacional,24,10,,0.0
486,24FEB2021:00:00:00,41 a 50,M,AstraZeneca,Privado,1,0,,0.0
487,24FEB2021:00:00:00,41 a 50,M,AstraZeneca,Público,3,0,,0.0
488,24FEB2021:00:00:00,41 a 50,M,Sputnik,Privado,124,18,,0.0
489,24FEB2021:00:00:00,41 a 50,M,Sputnik,Público,197,85,,0.0
490,24FEB2021:00:00:00,41 a 50,M,Sputnik,Público nacional,10,9,,0.0
495,24FEB2021:00:00:00,51 a 60,M,AstraZeneca,Público,4,0,,0.0
496,24FEB2021:00:00:00,51 a 60,M,Sputnik,Privado,65,13,,0.0
497,24FEB2021:00:00:00,51 a 60,M,Sputnik,Público,138,90,,0.0
498,24FEB2021:00:00:00,51 a 60,M,Sputnik,Público nacional,3,15,,0.0
504,24FEB2021:00:00:00,61 a 70,M,AstraZeneca,Público,31,0,,0.0
505,24FEB2021:00:00:00,61 a 70,M,Sputnik,Privado,32,12,,0.0
506,24FEB2021:00:00:00,61 a 70,M,Sputnik,Público,93,199,,0.0
507,24FEB2021:00:00:00,61 a 70,M,Sputnik,Público nacional,5,13,,0.0
513,24FEB2021:00:00:00,71 a 80,M,AstraZeneca,Privado,54,0,,0.0
514,24FEB2021:00:00:00,71 a 80,M,AstraZeneca,Público,248,0,,0.0
515,24FEB2021:00:00:00,71 a 80,M,Sputnik,Privado,13,3,,0.0
516,24FEB2021:00:00:00,71 a 80,M,Sputnik,Público,50,30,,0.0
517,24FEB2021:00:00:00,71 a 80,M,Sputnik,Público nacional,1,0,,0.0
521,24FEB2021:00:00:00,81 a 90,M,AstraZeneca,Privado,166,0,,0.0
522,24FEB2021:00:00:00,81 a 90,M,AstraZeneca,Público,1341,0,,0.0
523,24FEB2021:00:00:00,81 a 90,M,Sputnik,Privado,1,1,,0.0
524,24FEB2021:00:00:00,81 a 90,M,Sputnik,Público,10,2,,0.0
529,27FEB2021:00:00:00,81 a 90,M,AstraZeneca,Privado,77,0,,0.0
530,27FEB2021:00:00:00,81 a 90,M,AstraZeneca,Público,19,0,,0.0
531,27FEB2021:00:00:00,81 a 90,M,Sputnik,Público,7,0,,0.0
534,27FEB2021:00:00:00,91 o mas,M,AstraZeneca,Privado,12,0,,0.0
535,27FEB2021:00:00:00,91 o mas,M,AstraZeneca,Público,3,0,,0.0
539,28FEB2021:00:00:00,30 o menos,M,Sputnik,Privado,1,2,,0.0
540,28FEB2021:00:00:00,30 o menos,M,Sputnik,Público,3,5,,0.0
541,28FEB2021:00:00:00,30 o menos,M,Sputnik,Público nacional,1,3,,0.0
545,28FEB2021:00:00:00,31 a 40,M,Sputnik,Privado,4,9,,0.0
546,28FEB2021:00:00:00,31 a 40,M,Sputnik,Público,6,6,,0.0
547,28FEB2021:00:00:00,31 a 40,M,Sputnik,Público nacional,2,3,,0.0
552,28FEB2021:00:00:00,41 a 50,M,Sputnik,Privado,1,6,,0.0
553,28FEB2021:00:00:00,41 a 50,M,Sputnik,Público,2,4,,0.0
554,28FEB2021:00:00:00,41 a 50,M,Sputnik,Público nacional,1,3,,0.0
559,28FEB2021:00:00:00,51 a 60,M,AstraZeneca,Privado,1,0,,0.0
560,28FEB2021:00:00:00,51 a 60,M,Sputnik,Público,2,7,,0.0
561,28FEB2021:00:00:00,51 a 60,M,Sputnik,Público nacional,2,1,,0.0
565,28FEB2021:00:00:00,61 a 70,M,AstraZeneca,Público,18,0,,0.0
566,28FEB2021:00:00:00,61 a 70,M,Sputnik,Privado,1,4,,0.0
567,28FEB2021:00:00:00,61 a 70,M,Sputnik,Público,7,6,,0.0
570,28FEB2021:00:00:00,71 a 80,M,AstraZeneca,Público,13,0,,0.0
571,27FEB2021:00:00:00,30 o menos,M,Sputnik,Público nacional,2,0,,0.0
576,27FEB2021:00:00:00,31 a 40,M,Sputnik,Privado,21,2,,0.0
577,27FEB2021:00:00:00,31 a 40,M,Sputnik,Público,69,6,,0.0
578,27FEB2021:00:00:00,31 a 40,M,Sputnik,Público nacional,0,1,,0.0
584,27FEB2021:00:00:00,41 a 50,M,AstraZeneca,Privado,1,0,,0.0
585,27FEB2021:00:00:00,41 a 50,M,Sputnik,Privado,8,0,,0.0
586,27FEB2021:00:00:00,41 a 50,M,Sputnik,Público,69,9,,0.0
587,27FEB2021:00:00:00,41 a 50,M,Sputnik,Público nacional,0,1,,0.0
593,27FEB2021:00:00:00,51 a 60,M,AstraZeneca,Público,3,0,,0.0
594,27FEB2021:00:00:00,51 a 60,M,Sputnik,Privado,4,1,,0.0
595,27FEB2021:00:00:00,51 a 60,M,Sputnik,Público,47,4,,0.0
596,27FEB2021:00:00:00,51 a 60,M,Sputnik,Público nacional,1,0,,0.0
600,27FEB2021:00:00:00,61 a 70,M,AstraZeneca,Público,12,0,,0.0
601,27FEB2021:00:00:00,61 a 70,M,Sputnik,Privado,1,0,,0.0
602,27FEB2021:00:00:00,61 a 70,M,Sputnik,Público,40,5,,0.0
608,27FEB2021:00:00:00,71 a 80,M,AstraZeneca,Privado,20,0,,0.0
609,27FEB2021:00:00:00,71 a 80,M,AstraZeneca,Público,20,0,,0.0
610,27FEB2021:00:00:00,71 a 80,M,Sputnik,Privado,2,0,,0.0
611,27FEB2021:00:00:00,71 a 80,M,Sputnik,Público,23,0,,0.0
612,19FEB2021:00:00:00,30 o menos,M,Sputnik,Público,104,6,,0.0
613,19FEB2021:00:00:00,30 o menos,M,Sputnik,Público nacional,19,2,,0.0
617,19FEB2021:00:00:00,31 a 40,M,Sputnik,Privado,181,3,,0.0
618,19FEB2021:00:00:00,31 a 40,M,Sputnik,Público,202,20,,0.0
619,19FEB2021:00:00:00,31 a 40,M,Sputnik,Público nacional,45,3,,0.0
623,19FEB2021:00:00:00,41 a 50,M,Sputnik,Privado,161,4,,0.0
624,19FEB2021:00:00:00,41 a 50,M,Sputnik,Público,214,16,,0.0
625,19FEB2021:00:00:00,41 a 50,M,Sputnik,Público nacional,37,0,,0.0
629,19FEB2021:00:00:00,51 a 60,M,Sputnik,Privado,87,1,,0.0
630,19FEB2021:00:00:00,51 a 60,M,Sputnik,Público,186,12,,0.0
631,19FEB2021:00:00:00,51 a 60,M,Sputnik,Público nacional,23,2,,0.0
635,19FEB2021:00:00:00,61 a 70,M,Sputnik,Privado,48,0,,0.0
636,19FEB2021:00:00:00,61 a 70,M,Sputnik,Público,144,1,,0.0
637,19FEB2021:00:00:00,61 a 70,M,Sputnik,Público nacional,19,0,,0.0
641,19FEB2021:00:00:00,71 a 80,M,Sputnik,Privado,11,0,,0.0
642,19FEB2021:00:00:00,71 a 80,M,Sputnik,Público,52,0,,0.0
643,19FEB2021:00:00:00,71 a 80,M,Sputnik,Público nacional,3,0,,0.0
646,19FEB2021:00:00:00,81 a 90,M,Sputnik,Privado,2,0,,0.0
647,19FEB2021:00:00:00,81 a 90,M,Sputnik,Público,11,0,,0.0
648,19FEB2021:00:00:00,91 o mas,M,Sputnik,Privado,1,0,,0.0
649,19FEB2021:00:00:00,91 o mas,M,Sputnik,Público,1,0,,0.0
650,19FEB2021:00:00:00,91 o mas,M,Sputnik,Público nacional,1,0,,0.0
653,20FEB2021:00:00:00,30 o menos,M,Sputnik,Privado,21,0,,0.0
654,20FEB2021:00:00:00,30 o menos,M,Sputnik,Público,23,1,,0.0
658,20FEB2021:00:00:00,31 a 40,M,Sputnik,Privado,51,0,,0.0
659,20FEB2021:00:00:00,31 a 40,M,Sputnik,Público,81,2,,0.0
660,20FEB2021:00:00:00,31 a 40,M,Sputnik,Público nacional,3,0,,0.0
