depa_nombre,muni_nombre,codigo_habilitacion,nombre_prestador,tido_codigo,nits_nit,razon_social,clpr_codigo,clpr_nombre,ese,direccion,telefono,fax,email,gerente,nivel,caracter,habilitado,fecha_radicacion,fecha_vencimiento,fecha_cierre,dv,clase_persona,naju_codigo,naju_nombre,numero_sede_principal,fecha_corte_REPS
Amazonas,LETICIA,9100100149,MEDILIVE S.A.S,,900924985,MEDILIVE S.A.S,1,Instituciones - IPS,,CALLE 13 No. 10-71,3112574871,N.T,oapc@hispavista.com,,,,SI,20160212,20220831,,1,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Amazonas,LETICIA,9100100189,NORDVITAL IPS S.A.S.,,900758573,NORDVITAL IPS S.A.S.,1,Instituciones - IPS,,CALLE 12 8-55 BARRIO JOSE MARIA HERNANDEZ,3132740908,,calidad@nordvitalips.com,,,,SI,20220131,20260130,,7,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Amazonas,LETICIA,9100100113,ORGANIZACIONES DE IMAGENOLOGIA COLOMBIANA OIC SA,,830009112,ORGANIZACIONES DE IMAGENOLOGIA COLOMBIANA OIC SA,1,Instituciones - IPS,,CALLE 6 No. 6-60 ESCANOGRAFIA,3115929614,NO TIENE,gerenciadminoic@gmail.com,,,,SI,20120613,20230831,,9,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Amazonas,LETICIA,9100100141,RAFAEL BUSTAMANTE Y CIA LTDA,,830142044,RAFAEL BUSTAMANTE Y CIA LTDA,1,Instituciones - IPS,,CARRERA 10 No.12-99 BARRIO VICTORIA REGIA,3125422361,985926967,rafaignacio2000@yahoo.es,,,,SI,20150318,20220831,,4,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,ABEJORRAL,500204360,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,,890980643,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,1,Instituciones - IPS,SI,CL Circular X Kr Calibio,8647181,8648856,abejhs01@edatel.net.co,,1,MUNICIPAL,SI,20110725,20230831,,9,JURIDICO,4,Pública,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,ALEJANDRÍA,502105098,ESE HOSPITAL PBRO LUIS FELIPE ARBELAEZ,,800029509,ESE HOSPITAL PBRO LUIS FELIPE ARBELAEZ,1,Instituciones - IPS,SI,KR 19 # 16 - 70,8660077,8660077,hospitalalejandria@gmail.com,,1,MUNICIPAL,SI,20061117,20230831,,5,JURIDICO,4,Pública,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,AMAGÁ,503004374,ESE HOSPITAL SAN FERNANDO,,890906346,ESE HOSPITAL SAN FERNANDO,1,Instituciones - IPS,SI,Cra 51 No 52 81,8472926,8471384,hospital@eseamaga-antioquia.gov.co,,1,MUNICIPAL,SI,20030415,20220831,,1,JURIDICO,4,Pública,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,AMALFI,503102091,E.S.E HOSPITAL EL CARMEN,,890982101,E.S.E HOSPITAL EL CARMEN,1,Instituciones - IPS,SI,CL 23 # 23 - 40,5748300353,5748301803,gerencia@hospitalelcarmen-amalfi-antioquia.gov.co,,1,MUNICIPAL,SI,20061117,20220831,,8,JURIDICO,4,Pública,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,ANDES,503404432,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,,890980814,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,1,Instituciones - IPS,SI,AV MEDELLIN NRO. 48-20,5748414343,5748414909,gestiondocumental@hospitaldeandes.gov.co,,1,MUNICIPAL,SI,20061017,20220831,,1,JURIDICO,4,Pública,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,ANGELÓPOLIS,503605108,NUEVA EMPRESA SOCIAL DEL ESTADO HOSPITAL LA MISERICORDIA,,890980959,NUEVA EMPRESA SOCIAL DEL ESTADO HOSPITAL LA MISERICORDIA,1,Instituciones - IPS,SI,CL 8 # 7-108,5748421146,5748421029,archivodocumental.es@eselamisericordia-angelopolis-antioquia.gov.co,,1,MUNICIPAL,SI,20061117,20230831,,0,JURIDICO,4,Pública,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,ANGOSTURA,503801538,ESE HOSPITAL SAN RAFAEL,,890982183,E.S.E. HOSPITAL SAN RAFAEL DE ANGOSTURA,1,Instituciones - IPS,SI,KRA10 # 16 - 1,"5748645099, 8645319",5748645312,angohs01@edatel.net.co,,1,MUNICIPAL,SI,20030410,20230831,,1,JURIDICO,4,Pública,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,ANORÍ,504003261,ESE HOSPITAL SAN JUAN DE DIOS DE ANORI,,890982138,ESE HOSPITAL SAN JUAN DE DIOS DE ANORI,1,Instituciones - IPS,SI,CL ZEA,8350803,8350749,anorhs@hospitalanori.gov.co,,1,MUNICIPAL,SI,20070831,20220831,,1,JURIDICO,4,Pública,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,ANZA,504405014,ESE HOSPITAL SAN FRANCISCO DE ASIS,,890397282,E.S.E. HOSPITAL SAN FRANCISCO DE ASIS,1,Instituciones - IPS,SI,KR 8 # 7-29,8522029,8522029,hospitalanza@hospitalanza.gov.co - gerencia@hospitalanza-antioquia.gov.co,,1,MUNICIPAL,SI,20030414,20220831,,3,JURIDICO,4,Pública,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504514003,ATENCIÓN MÉDICA INTEGRAL MIRTIS S.A.S,,900805371,ATENCIÓN MÉDICA INTEGRAL MIRTIS S.A.S,1,Instituciones - IPS,,CL 95A # 105 - 59,3015252348,,atencionmedicaintegralm@gmail.com,,,,SI,20151215,20220831,,8,JURIDICO,1,Privada,02,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504514066,Cardioestudio Zona Franca S.A.S,,900728526,Cardioestudio Zona Franca S.A.S,1,Instituciones - IPS,,Cra 100 # 43 - 770 LT C 101 Piso 3,8282745,,luz.ortiz@cardioestudio.com,,,,SI,20150317,20220831,,2,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504507880,centro de diagnostico especializado e.u.,,811043405,centro de diagnostico especializado e.u.,1,Instituciones - IPS,,KR 99 #96- 37 - Barrio:Barrio los Fundadores,8283101,8280494,centrodiagnos@hotmail.com,,,,SI,20110928,20220831,,6,JURIDICO,1,Privada,02,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504518392,centro de visualizacion oral cvo S.A.S,,901273880,centro de visualizacion oral cvo SA.S,1,Instituciones - IPS,,carrera 104 B #97 A 17 barrio nuevo apartado,3053257484,no aplica,centrocvo@gmail.com,,,,SI,20200212,20240211,,4,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504502157,CENTRO DIAGNOSTICO APARTADO CEDA LIMITADA,,800005324,CENTRO DIAGNOSTICO APARTADO CEDA LIMITADA,1,Instituciones - IPS,,CL 100 # 103 - 26,8280407,8284659,cedarxul@edatel.net.co,,,,SI,20110726,20220831,,6,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504516209,CLAUDIA PATRICIA AGUADO QUINTERO S.A.S,,900996543,CLAUDIA PATRICIA AGUADO QUINTERO S.A.S,1,Instituciones - IPS,,CLL 102 Nª 98 -11 LC 201,8283619,,althaiasalud@gmaill.com,,,,SI,20170920,20230831,,6,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504506160,CLINICA CHINITA S.A.,,800123572,CLINICA CHINITA S.A.,1,Instituciones - IPS,,KR 98 # 102 - 11/13/15,8281200 EXTENSION 104,8281851 EXTENSIÓN 110,clinicachinita@gmail.com,,,,SI,20110511,20230831,,1,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504501359,CLINICA DE URABA SA,,800058856,CLINICA DE URABA SA,1,Instituciones - IPS,NO,DG 99 E # 106 C -56/58/ 84,5748297878,5748297878,administracion@clinicadeuraba.com,,,,SI,20070326,20220831,,1,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504519811,CLINICAS ODONTOLOGICAS ORAL EXPRESS-MANA S.A.S.,,901330992,CLINICAS ODONTOLOGICAS ORAL EXPRESS-MANA S.A.S.,1,Instituciones - IPS,,CR 100 N 88 21 OF 616,3123120168,,nadir.hermosa@oralexpress.com.co,,,,SI,20220503,20260502,,5,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504513907,CORPORACION IPS CEDISALUD,,900467430,CORPORACION IPS CEDISALUD,1,Instituciones - IPS,,calle 98 # 102 68,8285537 - 8285504,,calidad@cedisalud.com,,,,SI,20151214,20220831,,3,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504515486,FUNDACION AVIVAR CAD,,900986371,FUNDACION AVIVAR CENTRO DE REHABILITACION,1,Instituciones - IPS,,CALLE 95 Nro 100-24,8285959 - 3113103277,,secretaria@fundacionavivar.org,,,,SI,20170329,20220831,,3,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504509933,FUNDACION PARA LA INVESTIGACION Y LA PARTICIPACION SOCIAL FUNIPAS,,811045445,FUNDACION PARA LA INVESTIGACION Y LA PARTICIPACION SOCIAL FUNIPAS,1,Instituciones - IPS,NO,CL 106 # 97- 51,5748283210,5748283210,funipas@yahoo.com,,,,SI,20070810,20220831,,1,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504515953,G Y H OPTICAS S.A.S,,900958130,G&H OPTICAS SAS,1,Instituciones - IPS,,CR 102 # 98-49,8282961,,opticamundoapartado@hotmail.com,,,,SI,20170725,20220831,,6,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504511076,GASTROMEDIC S.A.S.,,900320195,GASTROMEDIC S.A.S.,1,Instituciones - IPS,,KR 98 #106 - 78,8280848,,hermesfrancisco1964@live.com,,,,SI,20091211,20230831,,5,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504518692,GLOBAL CARE IPS S.A.S,,901246529,GLOBAL CARE IPS S.A.S,1,Instituciones - IPS,,Carrera 105 # 94 - 63 Piso 1 Nuevo Apartado,8156971 - 3137681908,8156971,direcciongeneral@globalcareips.net,,,,SI,20200212,20240211,,9,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504518613,GOLDEN SERVICES OUTSOURCING S.A.S,,900795746,GOLDEN SERVICES OUTSOURCING S.A.S,1,Instituciones - IPS,,CALLE 98 # 100-49,3104142530,,gerencia@goldenservices.com.co,,,,SI,20210324,20250323,,1,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504519488,INSTITUTO DE DOLOR DEL PACIFICO S.A.S,,901012362,INSTITUTO DE DOLOR DEL PACIFICO S.A.S.,1,Instituciones - IPS,,CALLE 102 # 98-23,3122611703,,institutodedolorapartado@gmail.com,,,,SI,20210326,20250325,,1,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504511426,INSTITUTO RADIOLÓGICO ORAL DE URABÁ S.A.S.,,900199315,INSTITUTO RADIOLÓGICO ORAL DE URABÁ S.A.S.,1,Instituciones - IPS,,KR 99 # 96 - 35 LC 103,8286887,,institutoradiologicooraldeuraba@hotmail.com,,,,SI,20100831,20220831,,4,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504515633,INTEGRAL SALUD SEGURIDAD Y SALUD EN EL TRABAJO DE URABA S.A.S,,900989341,INTEGRAL SALUD SEGURIDAD Y SALUD EN EL TRABAJO DE URABA S.A.S,1,Instituciones - IPS,,CARRERA 99 NUMERO 97- 16,8282525,8284318,isaluduraba@gmail.com,,,,SI,20170331,20230831,,6,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504509446,INTISALUD IPS S.A.S.,,900073356,INTISALUD IPS S.A.S.,1,Instituciones - IPS,NO,CL 103 # 97 - 101 - 107,8156915,3146794399,briseida@intisalud.net,,,,SI,20071117,20220831,,4,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504520120,INVERSIONES UROLOGIA AVANZADA S.A.S ZOMAC,,901461976,INVERSIONES UROLOGIA AVANZADA S.A.S ZOMAC,1,Instituciones - IPS,,CALLE 100 # 88 - 21 P1 LOCAL 117 EDIFICIO CENTRO EMPRESARIAL SANTAMARIA,3115373408,,ips@urologiavanzada.com,,,,SI,20220502,20260501,,9,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504513854,IPS REINTEGRAS EN SALUD S.A.S,,900783786,IPS REINTEGRAS EN SALUD S.A.S,1,Instituciones - IPS,,CARRERA 102 No. 103-20,3015557753,,ipsreintegras@hotmail.com,,,,SI,20150616,20220831,,4,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504508430,LABORATORIO CITOLÓGICO Y PATOLÓGICO URABÁ S.A.S.,,811040808,LABORATORIO CITOLÓGICO Y PATOLÓGICO URABÁ S.A.S.,1,Instituciones - IPS,,CALLE 103 A # 100-94 BARRIO VELEZ,8153332 - 3137331313- 3004280272,,biopreverips.a.s@gmail.com,,,,SI,20160614,20220831,,7,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504513539,MEDIALCO ZONA FRANCA S.A.S,,900577446,MEDIALCO ZONA FRANCA S.A.S,1,Instituciones - IPS,,KR 100 CL 43 - 770 ZONA FRANCA LOTE C 1001 PI 3,3134928707,,gerenciaapartado@nefrouros.net,,,,SI,20140717,20220831,,2,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504514489,MEDICINA EN ACCION I.P.S. COLOMBIA S.A.S,,900477658,MEDICINA EN ACCION I.P.S. COLOMBIA S.A.S,1,Instituciones - IPS,,CRA 118 # 100 F -53,3004661539,,MEDICINAENACCIONAPARTADOR@GMAIL.COM,,,,SI,20160504,20220831,,8,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504509510,OFTALMOSERVICIOS IPS S.A.S.,,811038804,OFTALMOSERVICIOS IPS S.A.S.,1,Instituciones - IPS,,CARRERA 98 #103-89,8287020,8287020,gerencia@clofan.com,,,,SI,20110223,20220831,,1,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504511606,OMEGA ODONTOLOGOS MEDICOS ESPECIALIZADOS Y GENERALES ASOCIADOS SAS,,900358719,OMEGA ODONTOLOGOS MEDICOS ESPECIALIZADOS Y GENERALES ASOCIADOS SAS,1,Instituciones - IPS,,CL 98 A 105-B-70,8280531/3128211806,,omega-sas@hotmail.com,,,,SI,20160613,20220831,,9,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504510977,ORGANIZACIONES DE IMAGENOLOGIA COLOMBIANA O.I.C.S.A.,,830009112,ORGANIZACIONES DE IMAGENOLOGIA COLOMBIANA OIC SA,1,Instituciones - IPS,,CL 103 # 97-54 LC 103,8289130,,gerenciadminoic@gmail.com,,,,SI,20090924,20230831,,9,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504510104,ORTOCLINICAS DE URABA S.A.S,,900175791,ORTOCLINICAS DE URABA S.A.S,1,Instituciones - IPS,,carrera 100 No. 95 - 12 piso 2,8282004,,ramijarama@hotmail.com,,,,SI,20151006,20220831,,3,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504513197,Promotora Clinica Zona Franca de Uraba SAS,,900390423,Promotora Clinica Zona Franca de Uraba SAS,1,Instituciones - IPS,,KR 100 # 43-770 LT C101,548293198,548293198,info@clinpanamericana.com,,,,SI,20140113,20220831,,9,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504502098,PROSALUD S.A.S.,,800091462,PROSALUD S.A.S.,1,Instituciones - IPS,NO,CRA 100 # 95-23,8280200/3015574795,8280200,calidad@ipsprosalud.com,,,,SI,20030410,20220831,,0,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504508091,SALUD DARIEN I.P.S. S.A.,,811045925,SALUD DARIEN I.P.S. S.A.,1,Instituciones - IPS,,CL 100 # 94 A - 30 / 42,8264050,8264050 EXT 103,calidad@saluddarien.com,,,,SI,20110414,20230831,,3,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504510259,SONOIMAGENES S.A.S.,,900172401,SONOIMAGENES S.A.S.,1,Instituciones - IPS,NO,KR 99 #97-18,8281064,8281064,sonoimagenesltda@hotmail.com,,,,SI,20080515,20220831,,2,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504508671,UNLAB S.A.S,,900021323,UNLAB S.A.S,1,Instituciones - IPS,NO,CL 103 # 97 80,5748285196,,secretaria@unlab.co,,,,SI,20061117,20220831,,9,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504512253,URAMEDICOS S.A.S.,,900497151,URAMEDICOS S.A.S.,1,Instituciones - IPS,,KR 98 # 103-29/37,8156972,,uramedicos@gmail.com,,,,SI,20120313,20230831,,1,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,APARTADÓ,504512420,VISION TOTAL S.A.S,,830504734,VISION TOTAL S.A.S,1,Instituciones - IPS,,CALLE 103 # 97- 54 LOCAL 106 SALUD PLAZA BARRIO LA CHINITA,3017674170,8281716,visiontotaleu@yahoo.es,,,,SI,20120629,20220831,,2,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,ARBOLETES,505102323,E.S.E. HOSPITAL PEDRO NEL CARDONA,,890982134,E.S.E. HOSPITAL PEDRO NEL CARDONA,1,Instituciones - IPS,SI,BARRIO EL DEPORTIVO,948200026,8200026,secretaria@esehpncarboletes-antioquia.gov.co,,1,MUNICIPAL,SI,20030416,20230831,,0,JURIDICO,4,Pública,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,ARBOLETES,505112915,PROMOSALUD IPS T&E S.A.S.,,900192459,Promosalud IPS T&E S.A.S.,1,Instituciones - IPS,,carrera 30 numero 31-25,3215392270,,calidad@promosaludips.com,,,,SI,20191105,20231104,,4,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,ARBOLETES,505118244,RETINHER S.A.S,,900733517,RETINHER S.A.S,1,Instituciones - IPS,,CL 26 16 - 20 LAS DELICIAS,3205764107,,retinhersas@gmail.com,,,,SI,20191106,20231105,,6,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,ARGELIA,505505479,E.S.E. HOSPITAL SAN JULIAN,,890981851,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JULIAN,1,Instituciones - IPS,SI,calle 31 #32-14,8650000 - 3146182345,0,gerencia@hospitalsanjulian.gov.co,,1,MUNICIPAL,SI,20180717,20230831,,9,JURIDICO,4,Pública,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,ARMENIA,505905506,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES,,890982153,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES,1,Instituciones - IPS,SI,CL 11 # 6-69,5748559352,5748559059,hsmpgerencia@gmail.com,,1,MUNICIPAL,SI,20061114,20220831,,0,JURIDICO,4,Pública,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,BARBOSA,507909669,"""FUNDACIÓN LA LUZ - CENTRO NACIONAL PARA EL TRATAMIENTO DE LA DROGADICCIÓN""",,811004956,"""FUNDACIÓN LA LUZ - CENTRO NACIONAL PARA EL TRATAMIENTO DE LA DROGADICCIÓN""",1,Instituciones - IPS,NO,Intercambio Vial El Hatillo Vía Barbosa - FINCA LA QUERIDURA,3017481056 -3044485556,,representantelegal@fundacionlaluz.net,,,,SI,20070117,20220831,,6,JURIDICO,1,Privada,02,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,BARBOSA,507904077,ESE HOSPITAL SAN VICENTE DE PAUL,,890905193,ESE HOSPITAL SAN VICENTE DE PAUL,1,Instituciones - IPS,SI,KR 17 # 10 - 34,5744061341,5744060996,esebarbosa@une.net.co,,1,MUNICIPAL,SI,20061117,20230831,,7,JURIDICO,4,Pública,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,BARBOSA,507916048,IMÁGENES ECORAY IPS S.A.S,,901062552,IMÁGENES ECORAY IPS S.A.S,1,Instituciones - IPS,,Carrera 15 No 10 30,3148215315,,imagenesecoray@hotmail.com,,,,SI,20171130,20230831,,8,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,BARBOSA,507909878,IPS CASA DE LA SALUD BARBOSA S.A.S.,,900160035,IPS CASA DE LA SALUD BARBOSA S.A.S.,1,Instituciones - IPS,,CL 15 # 13 - 43,4060363,,casadelasaludbarbosa@hotmail.com,,,,SI,20120803,20220831,,8,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,BELLO,508811752,CLINICA NEFROUROS SAS,,900231793,CLINICA NEFROUROS SAS,1,Instituciones - IPS,,Diagonal 50A #38-20 Piso No.4 Centro Empresarial Tierragro,6045313 - 3213419828,,gerenciabello@nefrouros.net,,,,SI,20110328,20220831,,8,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Antioquia,BELLO,508805042,DENTOTAL S.A.S,,811007847,DENTOTAL S.A.S,1,Instituciones - IPS,NO,AK 50 # 50 - 15 OF 317,4442105,,dentotal@une.net.co,,,,SI,20061117,20220831,,5,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
